lganame,statename,num_health_facilities,longitude,population,lgaarea,popdensity,Facilities_per_10k_people,water_per_lga,NEAR_DIST_Health,NEAR_DIST_Water,Case,Year
Lau,Taraba,64,11.1807251,146955.1202,1527.405884,96.2122269,4.3550711,15,4494.029638367423,400.8899480858378,0.0,2021.0
Ibarapa Central,Oyo,25,3.248065,113369.7775,433.4613037,261.5453186,2.2051733,0,1646.9151189582865,1098.467405036303,0.0,2025.0
Ibarapa Central,Oyo,25,3.248065,113369.7775,433.4613037,261.5453186,2.2051733,0,1646.9151189582865,1098.467405036303,0.0,2024.0
Ibarapa Central,Oyo,25,3.248065,113369.7775,433.4613037,261.5453186,2.2051733,0,1646.9151189582865,1098.467405036303,0.0,2023.0
Ibarapa Central,Oyo,25,3.248065,113369.7775,433.4613037,261.5453186,2.2051733,0,1646.9151189582865,1098.467405036303,0.0,2022.0
Ibarapa Central,Oyo,25,3.248065,113369.7775,433.4613037,261.5453186,2.2051733,0,1646.9151189582865,1098.467405036303,0.0,2021.0
Abeokuta North,Ogun,139,3.346846667,487998.8443,787.3618774,619.7897949,2.8483675,0,1842.3931936192016,9234.81445906114,0.0,2025.0
Abeokuta North,Ogun,139,3.346846667,487998.8443,787.3618774,619.7897949,2.8483675,0,1842.3931936192016,9234.81445906114,0.0,2024.0
Abeokuta North,Ogun,139,3.346846667,487998.8443,787.3618774,619.7897949,2.8483675,0,1842.3931936192016,9234.81445906114,0.0,2023.0
Abeokuta North,Ogun,139,3.346846667,487998.8443,787.3618774,619.7897949,2.8483675,0,1842.3931936192016,9234.81445906114,0.0,2022.0
Abeokuta North,Ogun,139,3.346846667,487998.8443,787.3618774,619.7897949,2.8483675,0,1842.3931936192016,9234.81445906114,0.0,2021.0
Bonny,Rivers,21,7.165527344,131436.5433,241.4020844,544.4714355,1.5977292,52,772.8643647188866,138.0202731895799,0.0,2025.0
Bonny,Rivers,21,7.165527344,131436.5433,241.4020844,544.4714355,1.5977292,52,772.8643647188866,138.0202731895799,0.0,2024.0
Bonny,Rivers,21,7.165527344,131436.5433,241.4020844,544.4714355,1.5977292,52,772.8643647188866,138.0202731895799,0.0,2023.0
Bonny,Rivers,21,7.165527344,131436.5433,241.4020844,544.4714355,1.5977292,52,772.8643647188866,138.0202731895799,0.0,2022.0
Bonny,Rivers,21,7.165527344,131436.5433,241.4020844,544.4714355,1.5977292,52,772.8643647188866,138.0202731895799,0.0,2021.0
Warri South-West,Delta,14,5.726501465,56674.35066,1278.532715,44.3276482,2.4702532,389,11259.318891630928,17.357686113729248,0.0,2025.0
Warri South-West,Delta,14,5.726501465,56674.35066,1278.532715,44.3276482,2.4702532,389,11259.318891630928,17.357686113729248,34.0,2024.0
Warri South-West,Delta,14,5.726501465,56674.35066,1278.532715,44.3276482,2.4702532,389,11259.318891630928,17.357686113729248,0.0,2024.0
Warri South-West,Delta,14,5.726501465,56674.35066,1278.532715,44.3276482,2.4702532,389,11259.318891630928,17.357686113729248,0.0,2022.0
Warri South-West,Delta,14,5.726501465,56674.35066,1278.532715,44.3276482,2.4702532,389,11259.318891630928,17.357686113729248,0.0,2021.0
Warri South,Delta,107,5.75423,453134.9113,544.2268677,832.6213379,2.3613276,71,2535.380124766025,458.83377384894254,0.0,2025.0
Warri South,Delta,107,5.75423,453134.9113,544.2268677,832.6213379,2.3613276,71,2535.380124766025,458.83377384894254,0.0,2024.0
Warri South,Delta,107,5.75423,453134.9113,544.2268677,832.6213379,2.3613276,71,2535.380124766025,458.83377384894254,0.0,2023.0
Warri South,Delta,107,5.75423,453134.9113,544.2268677,832.6213379,2.3613276,71,2535.380124766025,458.83377384894254,0.0,2022.0
Warri South,Delta,107,5.75423,453134.9113,544.2268677,832.6213379,2.3613276,71,2535.380124766025,458.83377384894254,0.0,2021.0
Akuku Toru,Rivers,13,6.64482,118621.9195,1415.313232,83.8131943,1.0959189,170,9774.586310403649,94.51411256499651,47.0,2025.0
Akuku Toru,Rivers,13,6.64482,118621.9195,1415.313232,83.8131943,1.0959189,170,9774.586310403649,94.51411256499651,0.0,2024.0
Akuku Toru,Rivers,13,6.64482,118621.9195,1415.313232,83.8131943,1.0959189,170,9774.586310403649,94.51411256499651,0.0,2023.0
Akuku Toru,Rivers,13,6.64482,118621.9195,1415.313232,83.8131943,1.0959189,170,9774.586310403649,94.51411256499651,0.0,2022.0
Akuku Toru,Rivers,13,6.64482,118621.9195,1415.313232,83.8131943,1.0959189,170,9774.586310403649,94.51411256499651,0.0,2021.0
Isokan,Osun,41,4.1953125,155877.4539,265.6108093,586.8641357,2.6302714,0,1694.2664024328567,339.5750122919464,0.0,2025.0
Isokan,Osun,41,4.1953125,155877.4539,265.6108093,586.8641357,2.6302714,0,1694.2664024328567,339.5750122919464,0.0,2024.0
Isokan,Osun,41,4.1953125,155877.4539,265.6108093,586.8641357,2.6302714,0,1694.2664024328567,339.5750122919464,0.0,2023.0
Isokan,Osun,41,4.1953125,155877.4539,265.6108093,586.8641357,2.6302714,0,1694.2664024328567,339.5750122919464,0.0,2022.0
Isokan,Osun,41,4.1953125,155877.4539,265.6108093,586.8641357,2.6302714,0,1694.2664024328567,339.5750122919464,0.0,2021.0
Irewole,Osun,44,4.184338333,181159.6202,285.6218872,634.2637939,2.4287972,0,2476.3385806490223,907.8811566938169,0.0,2025.0
Irewole,Osun,44,4.184338333,181159.6202,285.6218872,634.2637939,2.4287972,0,2476.3385806490223,907.8811566938169,0.0,2024.0
Irewole,Osun,44,4.184338333,181159.6202,285.6218872,634.2637939,2.4287972,0,2476.3385806490223,907.8811566938169,0.0,2023.0
Irewole,Osun,44,4.184338333,181159.6202,285.6218872,634.2637939,2.4287972,0,2476.3385806490223,907.8811566938169,0.0,2022.0
Irewole,Osun,44,4.184338333,181159.6202,285.6218872,634.2637939,2.4287972,0,2476.3385806490223,907.8811566938169,0.0,2021.0
Essien Udim,Akwa Ibom,33,7.69998,213603.232,298.1043701,716.5383911,1.5449204,0,3296.8189301952198,3468.1462051507174,0.0,2025.0
Essien Udim,Akwa Ibom,33,7.69998,213603.232,298.1043701,716.5383911,1.5449204,0,3296.8189301952198,3468.1462051507174,0.0,2024.0
Essien Udim,Akwa Ibom,33,7.69998,213603.232,298.1043701,716.5383911,1.5449204,0,3296.8189301952198,3468.1462051507174,0.0,2023.0
Essien Udim,Akwa Ibom,33,7.69998,213603.232,298.1043701,716.5383911,1.5449204,0,3296.8189301952198,3468.1462051507174,0.0,2022.0
Essien Udim,Akwa Ibom,33,7.69998,213603.232,298.1043701,716.5383911,1.5449204,0,3296.8189301952198,3468.1462051507174,0.0,2021.0
Onna,Akwa Ibom,28,7.83707,70111.02463,127.5948486,549.4816284,3.9936657,1,440.6463897406756,1483.5617418274433,0.0,2025.0
