lganame,statename,num_health_facilities,longitude,population,lgaarea,popdensity,Facilities_per_10k_people,water_per_lga,NEAR_DIST_Health,NEAR_DIST_Water
Dan Musa,Katsina,58,7.345241667000000,234619.714899999991758,1085.671387,216.1056519,2.4720855,7,2026.837609564646300,2004.947988248230786
Kura,Kano,32,8.516597000000001,292768.089700000011362,202.6664581,1444.580933,1.0930153,13,1990.982710628603627,3774.004502943073931
Lere,Kaduna,90,8.596847800000001,533562.246799999964423,2634.076172,202.5614319,1.686776,2,966.126761918429906,2678.562526416029868
Zango,Katsina,42,8.508998332999999,302395.963600000017323,562.0913696,537.9836426,1.3889074,1,1445.778743399564064,18436.839311413332325
Wurno,Sokoto,33,5.700814999640000,172229.602899999998044,665.7401733,258.703949,1.916047,2,5194.878424451999308,5865.647217796382392
Gudu,Sokoto,27,4.480709970000000,94487.042390000002342,2988.320801,31.6187744,2.8575346,5,11225.477511232937104,14935.165955591759484
Gwiwa,Jigawa,29,8.342749400000001,207156.731700000003912,440.7791138,469.9785461,1.3999063,0,2084.944346767655588,14697.271649342510500
Birnin Kebbi,Kebbi,93,4.193053000180000,372239.759499999985565,1036.52063,359.1243286,2.4983897,0,373.242725523922104,1265.828356698360039
Suru,Kebbi,70,3.890541389600000,164400.864600000000792,1628.517212,100.9512634,4.257885,0,3286.064015971015124,2492.709825199267470
Numan,Adamawa,58,12.014500000000000,165014.734900000010384,809.4746094,203.854126,3.5148377,58,1722.699953713140758,3558.201790135217379
Biu,Borno,40,12.186889649999999,450925.696600000024773,3164.852783,142.4792023,0.8870641,11,9542.227693949125751,7845.814247595543748
Kaduna South,Kaduna,74,7.414091327160000,534277.790200000046752,46.1994057,11564.60352,1.3850473,11,240.812494797760650,194.793966100321711
Dikwa,Borno,21,13.988599999800000,87596.225640000004205,1673.013794,52.3583412,2.3973637,44,6093.074512999098260,10209.023273288439668
Zaria,Kaduna,80,7.708110000000000,794330.816299999947660,426.8100586,1861.087402,1.0071371,14,1429.342042329416017,1049.990781024645685
Kalgo,Kebbi,43,4.004006999740000,96051.094859999997425,598.5837402,160.4639282,4.4767838,0,3224.723004223174030,7504.743347051086857
Yankwashi,Jigawa,20,8.518115800000000,141522.527100000006612,303.5104675,466.2854919,1.4132025,0,859.834723940319918,25046.277598924098129
Kaura,Kaduna,42,8.529544100000001,276707.964500000001863,460.9197693,600.3386841,1.5178457,0,1349.269555354099111,95.237955773802312
Lamurde,Adamawa,44,11.833330000000000,197983.141999999992549,1082.983643,182.8126831,2.2224114,85,1384.530705286118746,73.044624785107075
Monguno,Borno,37,13.614030000000000,216349.624500000005355,2299.316162,94.0930328,1.7101948,57,5651.469902775573246,13507.902933800543906
Enugu East,Enugu,117,7.589165000000000,461304.462899999984074,369.7129517,1247.736816,2.5362859,9,544.327084065896997,1729.761701773052664
Ngala,Borno,17,14.210580000000000,135286.386399999988498,2001.219727,67.6019669,1.2565936,76,10497.213322823034105,160.016721590952301
Gubio,Borno,8,12.785114000100000,206460.405100000003586,2758.827637,74.8362808,0.3874835,67,9519.731156943827955,4529.874729932952505
Yagba East,Kogi,62,5.833923340000000,133357.474300000001676,1520.347534,87.715126,4.649158,4,5277.398127785451834,9934.858740916146417
Chibok,Borno,34,12.776800000400000,110736.122000000003027,1264.647827,87.5628128,3.0703621,21,2273.206166410178866,3725.736798174696105
Tureta,Sokoto,25,5.571162701000000,92248.798179999997956,1868.198242,49.3784828,2.7100625,4,7772.985337126351624,11796.282479586045156
Gashaka,Taraba,38,11.262695310000000,159912.511900000012247,8482.929688,18.8510952,2.3762994,7,1080.970417663516855,676.610057421305100
Bauchi,Bauchi,176,10.090899000000000,1201327.000000000000000,3218.880371,373.212677,1.4650465,19,3175.134172950170978,1279.452692945874333
Hawul,Borno,41,12.327610000200000,253980.582099999999627,1866.721191,136.0570526,1.6142967,9,1444.575600475058309,1640.312546361857585
Uruan,Akwa Ibom,21,8.031318253000000,118328.819900000002235,306.0635986,386.6151428,1.7747155,8,3237.094836389467673,2548.875295498166906
Mayo-Belwa,Adamawa,99,12.060302730000000,313080.937700000009499,2368.029541,132.2115784,3.1621215,8,653.150000663942478,707.454964304102873
Mubi South,Adamawa,72,13.304980000000000,266029.653600000019651,475.8396912,559.0740967,2.7064652,11,1242.273110706815487,1254.827214294083660
Etsako West,Edo,71,6.264526367000000,389162.505899999989197,895.6776123,434.4894714,1.8244306,8,3130.544218361945241,2611.259800692386762
Fune,Yobe,59,11.233586010000000,589857.027899999986403,5632.768555,104.7188492,1.0002424,23,3982.096798945171031,15533.410995418878883
Mobbar,Borno,9,12.505069999800000,228943.346500000014203,2692.953613,85.0157013,0.3931104,214,15463.132783134731653,16205.553971114293745
Potiskum,Yobe,39,11.175292969999999,676494.115499999956228,425.4219055,1590.172241,0.5765017,5,3403.850183719495817,928.457149699314755
Gwoza,Borno,43,13.814959999999999,228713.099799999996321,3586.444336,63.7715454,1.8800848,19,5573.230774034732349,4580.197957863284500
Guzamala,Borno,13,13.229289999900001,62746.883970000002591,2372.916992,26.4429321,2.071816,53,7479.425917178595228,28473.078028505766270
Maiha,Adamawa,61,13.234924319999999,188095.149399999994785,1346.335327,139.7089844,3.2430396,9,6112.567907617225501,5995.496532414948888
Gulani,Yobe,43,11.568725590000000,369438.073600000003353,2367.029541,156.0766602,1.1639298,1,1818.177442148190266,7229.578092404948620
Zing,Taraba,72,11.713073730000000,210404.523300000000745,871.8153076,241.3407135,3.4219797,0,1398.192859890706131,12862.210070936778720
Orelope,Oyo,26,3.765248333000000,105286.902400000006310,1054.729858,99.8235703,2.4694428,1,1561.700490151074291,34202.642799034350901
Nsit Ibom,Akwa Ibom,26,7.826460300000000,122391.662700000000768,144.6309662,846.2341309,2.1243277,0,1671.937748567861036,2158.792815436361707
Fufore,Adamawa,104,12.864770000000000,443009.232299999974202,5065.88916,87.4494553,2.3475809,65,974.304419070343556,468.891484823372821
Mkpat Enin,Akwa Ibom,36,7.745530000000000,122239.917799999995623,336.4116821,363.3640747,2.9450281,0,636.929187881185044,9654.623001660420414
Owan West,Edo,44,5.936790000000000,113152.205900000000838,731.4390259,154.6980743,3.8885677,3,3195.711251778159294,8863.135041127925433
Kaga,Borno,18,12.262379999900000,116623.566800000000512,3651.226563,31.9409294,1.5434273,18,2390.396464860901233,26230.964652104550623
Karim Lamido,Taraba,157,10.980430000000000,343373.964600000006612,6091.915527,56.3655167,4.5722742,72,1028.885573439064046,2827.345613345330548
Kukawa,Borno,14,13.821260000100001,85386.561459999997169,4841.629395,17.6359138,1.6396023,74,11112.962075332647146,6952.616788225906021
Gombi,Adamawa,70,12.654730000000001,290857.965700000000652,2311.768311,125.8162231,2.406673,11,4928.924131521495838,962.624318107349154
Guyuk,Adamawa,70,11.872960000000001,251727.295199999993201,764.581604,329.2353516,2.780787,0,1511.314850874887725,2276.121136900640067
Tudun Wada,Kano,37,8.305813333000000,435538.364200000010896,1084.232788,401.7019043,0.8495233,17,2540.422092616665850,7912.527306786337249
Saki West,Oyo,114,3.391998400000000,350561.686099999991711,2060.273438,170.1529846,3.251924,1,6148.354754578089342,17125.620944031365070
Toungo,Adamawa,54,11.971679690000000,101975.027400000006310,5646.494141,18.0598831,5.295414,8,3843.660183189678264,2899.704287506193850
Abua/Odual,Rivers,33,6.650138333000000,126874.230599999995320,640.2314453,198.1693268,2.601001,11,5995.648906997004815,610.434954102498295
Bungudu,Zamfara,97,6.665527344000000,396967.615300000004936,2077.536377,191.0761261,2.4435244,31,2250.297488835867625,435.425391058419621
Shani,Borno,43,11.962756000300001,285029.258700000005774,1211.547119,235.2605591,1.508617,7,2058.564063364035974,616.808710212232654
Shagari,Sokoto,40,4.935381999560000,153089.489000000001397,1370.541016,111.7000427,2.6128509,3,5544.601460661640886,10707.735900899062472
Yunusari,Yobe,43,12.090439999999999,292431.434400000027381,3719.110107,78.6294098,1.4704301,108,3013.331290556781369,9671.174220098988371
Ganye,Adamawa,81,11.967370000000001,310190.172399999981280,2095.221436,148.0464935,2.6113012,2,702.775464423696462,3722.496015206540960
Jada,Adamawa,84,12.012890000000001,315352.839700000011362,3583.24585,88.0075912,2.6636829,1,8430.261442763681771,7070.351879342819302
Bali,Taraba,107,11.052124020000001,398513.247199999983422,9716.213867,41.0152817,2.6849797,23,1231.513077067739914,475.690373559895590
Shelleng,Adamawa,59,11.990850000000000,248189.209200000012061,1380.811523,179.7415466,2.3772185,2,2567.887764132924531,979.625904452330929
Okitipupa,Ondo,61,4.790268000000000,368983.504699999990407,800.2355957,461.0935974,1.6531904,0,3716.628711268519510,8496.347965640254188
Bayo,Borno,36,11.695865000000000,234872.094500000006519,1046.807861,224.3698273,1.5327492,1,1573.756525312525582,64.808875110023550
